id,road,region,value
1702,Inchmarnock Street,Splott,0.008516364
1712,Ireton Close,Pontprennau,0.235717143
1713,Iron Street,Adamsdown,0.0119595
1715,Ivydale,Lisvane,0.241282264
1717,Jade Close,Lisvane,0.213002222
1720,Janet Street,Splott,0.004888545
1723,Jaycroft Close,Pontprennau,0.053635
1729,Jindabyne Court,Old St. Mellons,0.80800125
1739,Kames Place,Adamsdown,0.113862143
1741,Keen Road,Splott,0.157635
1750,Kenmare Mews,Pontprennau,0.207216364
1761,Kerrycroy Street,Splott,0.00303
1770,Kilcattan Street,Splott,0.005292727
1778,King's Road,Riverside,5.00E-06
1785,Kingarth Street,Splott,0.007477778
1789,Kingston Road,Riverside,0.050451429
1791,Kinsale Close,Pontprennau,0.156728333
1795,Kitchener Road,Riverside,0.095302
1798,Knole Close,Pontprennau,0.094895
1799,Knox Road,Adamsdown,0.126904444
1809,Lady Margaret Terrace,Splott,0.037222381
1821,Lamberton Street,Splott,0.11545375
1835,Larch Grove,Lisvane,0.3338024
1836,Lascelles Drive,Pontprennau,0.199228925
1848,Leacroft Place,Pontprennau,0.052668333
1849,Lead Street,Adamsdown,0.006358333
1855,Leckwith Place,Riverside,0.01973
1858,Leckwith Road,Riverside,0.097110435
1865,Lewis Road,Splott,0.144123731
1866,Lewis Street,Riverside,0.059707222
1868,Liddell Close,Pontprennau,0.15974
1870,Lilburne Close,Pontprennau,0.250041
1886,Lisvane Road,Lisvane,0.501310952
1891,Littleton Street,Riverside,0.028192
1899,Llandaff Road,Riverside,0.00871
1914,Llanewrwg Way,Old St. Mellons,0.477246667
1951,Llwyn-y-pia Road,Lisvane,0.425882273
1969,Lodge Close,Lisvane,0.38818
1991,Long House Close,Lisvane,0.337009
1992,Longcross Street,Adamsdown,0.033927273
1993,Longleat Close,Lisvane,0.303925714
2004,Lovage Close,Pontprennau,0.23895963
2006,Lower Cathedral Road,Riverside,0.029634583
2019,Lyncroft Close,Old St. Mellons,0.049578
2020,Lyndhurst Street,Riverside,0.042334348
2035,Machen Place,Riverside,0.04643125
2043,Maes Brith Y Garn,Pontprennau,0.116586429
2046,Maes y Bryn,Pontprennau,0.122007619
2054,Maes Y Hedydd,Pontprennau,0.124190588
2057,Maes y Wennol,Pontprennau,0.100119
2075,Malthouse Avenue,Pontprennau,0.282465208
2077,Mandeville Place,Riverside,0.04526
2078,Mandeville Street,Riverside,0.043338571
2087,Mansfield Street,Riverside,0.005126364
2101,Marion Street,Splott,0.011506049
2103,Mark Street,Riverside,0.009841739
2143,Melrose Close,Old St. Mellons,0.296958421
2144,Melville Avenue,Old St. Mellons,0.3990685
2159,Metal Street,Adamsdown,0.089496818
2160,Meteor Street,Adamsdown,0.027637083
2168,Mill Lane,Old St. Mellons,0.361471667
2170,Mill Place,Lisvane,0.432908889
2172,Mill Road,Lisvane,0.490665395
2174,Millbrook Park,Lisvane,0.2236964
2175,Millfield,Lisvane,0.209553636
2178,Millheath Drive,Lisvane,0.13777303
2179,Millrace Close,Lisvane,0.207180283
2180,Millwood,Lisvane,0.368105098
2196,Moira Place,Adamsdown,0.094212632
2197,Moira Street,Adamsdown,0.002795833
2198,Moira Terrace,Adamsdown,0.086831064
2210,Moorhead Close,Splott,0.034581429
2211,Moorland Road,Adamsdown,0.04511
2212,Moorland Road,Splott,0.040173448
2213,Moors Lane,Splott,0.10577
2216,Morgan Street,Adamsdown,0.006346667
2226,Mount St Denys,Lisvane,0.353438261
2231,Mulberry Drive,Pontprennau,0.146215
2257,Naseby Close,Pontprennau,0.40724625
2258,Nasturtium Way,Pontprennau,0.113413333
2259,Neath Street,Splott,0.009912667
2260,Neilson Close,Splott,0.12603
2262,Nettlefold Road,Splott,0.203614
2263,Neville Place,Riverside,0.121303846
2264,Neville Street,Riverside,0.075261591
2275,Newport Road,Adamsdown,0.093193733
2278,Newport Road,Old St. Mellons,0.334708252
2290,Ninian Park Road,Riverside,0.024338031
2292,Nora Street,Adamsdown,0.072618125
2302,North Luton Place,Adamsdown,0.011214545
2303,North Morgan Street,Riverside,0.00535625
2304,North Park Road,Splott,0.165506
2331,Oakford Close,Pontprennau,0.12411
2333,Oakleafe Drive,Pontprennau,0.104926667
2334,Oakmead Close,Pontprennau,0.090645
2338,Ocean Way,Splott,0.280986025
2346,Old Hill,Old St. Mellons,0.599906667
2348,Old Mill Road,Lisvane,0.809154571
2349,Old Newport Road,Old St. Mellons,0.486681
2356,Orbit Street,Adamsdown,0.032754167
2358,Orchard Court,Lisvane,0.182208
2364,Ordell Street,Splott,0.004752692
2379,Pacific Road,Splott,0.096052368
2414,Parkstone Avenue,Old St. Mellons,0.251996667
2415,Parkwall Road,Pontprennau,0.641000833
2428,Pearl Place,Adamsdown,0.08685
2429,Pearl Street,Adamsdown,0.025744625
2433,Pellett Street,Adamsdown,0.003655
2500,Pentwyn Link Road,Old St. Mellons,0.497804545
2501,Pentwyn Link Road,Pontprennau,0.578887143
