id,road,region,value,city
276,Bradley Street,Adamsdown,0.0298705,Cardiff
277,Braeval Street,Roath,0.004168462,Cardiff
278,Bramble Close,Fairwater,0.047622857,Cardiff
279,Bramblewood Close,Thornhill,0.311567143,Cardiff
280,Brambling Drive,Thornhill,0.108821667,Cardiff
281,Bramshill Drive,Pontprennau,0.224197273,Cardiff
282,Brandreth Gardens,Penylan,0.28474125,Cardiff
283,Brandreth Road,Penylan,0.245108403,Cardiff
284,Branwen Close,Caerau,0.083323636,Cardiff
285,Braunton Avenue,Llanrumney,0.089702885,Cardiff
286,Braunton Crescent,Llanrumney,0.182880233,Cardiff
287,Brayford Place,Llanrumney,0.016042,Cardiff
288,Brecon Street,Canton,0.006615294,Cardiff
289,Brendon Close,Llanrumney,0.060021429,Cardiff
290,Brenig Close,Thornhill,0.112625,Cardiff
291,Brianne Drive,Thornhill,0.171900769,Cardiff
292,Briar Close,Fairwater,0.115424167,Cardiff
293,Briarmeadow Drive,Thornhill,0.18450814,Cardiff
294,Briarwood Drive,Cyncoed,0.272465909,Cardiff
295,Bridge Road,Llandaff,0.520223208,Cardiff
296,Bridge Road,Llandaff North,0.167256111,Cardiff
297,Bridge Road,Old St. Mellons,0.627059787,Cardiff
298,Bridge Street,Castle,0.008413077,Cardiff
299,Bridge Street,Llandaff,0.12351625,Cardiff
300,Bridgewater Road,Llanrumney,0.103009722,Cardiff
301,Brigantine Place,Butetown,0.234040789,Cardiff
302,Brindley Road,Grangetown,0.161433429,Cardiff
303,Britannia Quay,Butetown,0.179327308,Cardiff
304,Brithdir Street,Cathays,0.007921591,Cardiff
305,British Legion Drive,Llanrumney,0.064080588,Cardiff
306,Bro Athro,Trowbridge,0.063967857,Cardiff
307,Broad Place,Canton,0.089376667,Cardiff
308,Broad Street,Canton,0.099786542,Cardiff
309,Broadacres,Canton,0.088529259,Cardiff
310,Broadfield Court,Caerau,0.154808462,Cardiff
311,Broadhaven,Canton,0.080275577,Cardiff
312,Broadlands Court,Trowbridge,0.254802857,Cardiff
313,Broadstairs Road,Canton,0.054846452,Cardiff
314,Broadway,Adamsdown,0.012961743,Cardiff
315,Broadwell Close,Trowbridge,0.111837692,Cardiff
316,Brocastle Road,Whitchurch,0.118733077,Cardiff
317,Brockhampton Road,Trowbridge,0.449827083,Cardiff
318,Bromfield Street,Grangetown,0.005507778,Cardiff
319,Bromley Drive,Caerau,0.110668409,Cardiff
320,Bromsgrove Street,Grangetown,0.055771915,Cardiff
321,Bron Felen,Thornhill,0.1217,Cardiff
322,Bronte Close,Llanrumney,0.099326875,Cardiff
323,Bronte Crescent,Llanrumney,0.109918235,Cardiff
324,Bronwydd Avenue,Penylan,0.366183509,Cardiff
325,Bronwydd Close,Penylan,0.2845,Cardiff
326,Bronwydd Road,Tremorfa,0.04878,Cardiff
327,Brook Road,Fairwater,0.016855238,Cardiff
328,Brook Road,Whitchurch,0.371282727,Cardiff
329,Brook Street,Riverside,0.022580625,Cardiff
330,Brookfield Drive,Trowbridge,0.203639535,Cardiff
331,Brooklands Terrace,Wenvoe,0.402574242,Cardiff
332,Brooklyn Close,Rhiwbina,0.165241818,Cardiff
333,Brookside Close,Heath,0.243051111,Cardiff
334,Brookvale Drive,Thornhill,0.235158393,Cardiff
335,Brookview Close,Thornhill,0.15301,Cardiff
336,Broom Place,Fairwater,0.042565556,Cardiff
337,Brown Court,Trowbridge,0.140843333,Cardiff
338,Browning Close,Llanrumney,0.055131667,Cardiff
339,Bruce Knight Close,Llandaff,0.121555,Cardiff
340,Bruce Street,Cathays,0.010915833,Cardiff
341,Brundall Crescent,Caerau,0.122832581,Cardiff
342,Brunel Street,Riverside,0.051461429,Cardiff
343,Brunswick Street,Canton,0.017414505,Cardiff
344,Bruton Place,Llandaff,0.422485,Cardiff
345,Brydges Place,Cathays,0.027852381,Cardiff
346,Bryn-Awelon Road,Cyncoed,0.371295957,Cardiff
347,Bryn-y-nant,Llanedeyrn,0.275821607,Cardiff
348,Bryn Adar,Rhiwbina,0.190332,Cardiff
349,Bryn Bach,Rhiwbina,0.164196667,Cardiff
350,Bryn Calch,Radyr and Morganstown,0.256252,Cardiff
351,Bryn Castell,Radyr and Morganstown,0.25948625,Cardiff
352,Bryn Celyn,Pentwyn,0.196490741,Cardiff
353,Bryn Celyn Road,Pentwyn,0.183273596,Cardiff
354,Bryn Coed,Radyr and Morganstown,0.245195,Cardiff
355,Bryn Derwen,Radyr and Morganstown,0.333748937,Cardiff
356,Bryn Glas,Thornhill,0.178591818,Cardiff
357,Bryn Golwg,Radyr and Morganstown,0.145361429,Cardiff
358,Bryn Gwyn Road,Cyncoed,0.268861471,Cardiff
359,Bryn Haidd,Pentwyn,0.152533846,Cardiff
360,Bryn Hyfryd,Radyr and Morganstown,0.32552,Cardiff
361,Bryn Pinwydden,Pentwyn,0.124931325,Cardiff
362,Bryn Rhosyn,Radyr and Morganstown,0.118987143,Cardiff
363,Brynbala Way,Trowbridge,0.103402763,Cardiff
364,Bryncyn,Pentwyn,0.13257102,Cardiff
365,Brynderwen Close,Cyncoed,0.303226875,Cardiff
366,Brynedw,Llanedeyrn,0.09656439,Cardiff
367,Brynfedw,Llanedeyrn,0.035896667,Cardiff
368,Brynheulog,Pentwyn,0.143983276,Cardiff
369,Brynheulog,Whitchurch,0.165506,Cardiff
370,Brynmawr Close,Trowbridge,0.036244545,Cardiff
371,Brynnedw,Llanedeyrn,0.199318,Cardiff
372,Brynteg,Rhiwbina,0.16755618,Cardiff
373,Brynteg Close,Cyncoed,0.276736667,Cardiff
374,Bryntirion,Rhiwbina,0.131306154,Cardiff
375,Brython Drive,Trowbridge,0.08423,Cardiff
376,Buckingham Close,Lisvane,0.1631875,Cardiff
377,Buckley Close,Llandaff,0.127709524,Cardiff
378,Bulrush Close,Trowbridge,0.132063333,Cardiff
379,Bunyan Close,Llanrumney,0.055065,Cardiff
380,Burgess Place,Grangetown,0.095321053,Cardiff
381,Burlington Terrace,Canton,0.095688421,Cardiff
382,Burnaby Street,Splott,0.005952703,Cardiff
383,Burne Jones Close,Llandaff,0.226592143,Cardiff
384,Burnham Avenue,Llanrumney,0.099040282,Cardiff
385,Burreed Close,Trowbridge,0.248375714,Cardiff
386,Burt Place,Butetown,0.026098333,Cardiff
387,Burt Street,Butetown,0.059798,Cardiff
388,Burwell Close,Pontprennau,0.231765882,Cardiff
389,Bute Crescent,Butetown,0.04479,Cardiff
390,Bute Esplanade,Butetown,0.120971429,Cardiff
391,Bute Place,Butetown,0.082124902,Cardiff
392,Bute Street,Butetown,0.19575371,Cardiff
393,Bute Street,Castle,0.024602,Cardiff
394,Bute Terrace,Castle,0.064155224,Cardiff
395,Butleigh Avenue,Canton,0.12155,Cardiff
396,Butterbur Place,St. Fagans,0.242935714,Cardiff
397,Butterfield Drive,Pontprennau,0.278445926,Cardiff
398,Bwlch Road,Fairwater,0.167524701,Cardiff
399,Byron Street,Roath,0.031165789,Cardiff
400,Cadman Close,Tremorfa,0.104759444,Cardiff
401,Cadnant Close,Llanishen,0.115914,Cardiff
402,Cadvan Road,Ely,0.0764155,Cardiff
403,Cadwgan Place,Fairwater,0.211402353,Cardiff
404,Cae'r Graig,Radyr and Morganstown,0.317659368,Cardiff
405,Cae Garw,Thornhill,0.191843714,Cardiff
406,Cae Maen,Heath,0.162584286,Cardiff
407,Cae Mawr Road,Rhiwbina,0.229515,Cardiff
408,Cae Syr Dafydd,Canton,0.130586923,Cardiff
409,Cae Ty Mawr,Whitchurch,0.1531576,Cardiff
410,Cae Yorath,Whitchurch,0.190843571,Cardiff
411,Caedelyn Road,Rhiwbina,0.107850645,Cardiff
412,Caedelyn Road,Whitchurch,0.15174,Cardiff
413,Caeglas Avenue,Rumney,0.13141,Cardiff
414,Caeglas Road,Rumney,0.141291233,Cardiff
415,Caegwyn Road,Heath,0.167602558,Cardiff
416,Caegwyn Road,Whitchurch,0.249323333,Cardiff
417,Caenewydd Close,Ely,0.081142727,Cardiff
418,Caer Cady Close,Cyncoed,0.067961818,Cardiff
419,Caer Castell Place,Rumney,0.187797683,Cardiff
420,Caer Wenallt,Rhiwbina,0.208856372,Cardiff
421,Caerau Court Road,Caerau,0.191999,Cardiff
422,Caerau Lane,Caerau,0.282409074,Cardiff
423,Caerau Park Crescent,Caerau,0.155487667,Cardiff
424,Caerau Park Place,Caerau,0.200978,Cardiff
425,Caerau Park Road,Caerau,0.134247407,Cardiff
426,Caerau Road,Caerau,0.121527838,Cardiff
427,Caerleon Close,Trowbridge,0.046745714,Cardiff
428,Caerleon Road,Gabalfa,0.345551154,Cardiff
429,Caernarvon Way,Trowbridge,0.050362059,Cardiff
430,Caerphilly Road,Heath,0.089223654,Cardiff
431,Caerphilly Road,Llanishen,0.11798814,Cardiff
432,Caerwent Road,Ely,0.095096757,Cardiff
433,Caewal Road,Llandaff,0.288271892,Cardiff
434,Cairnmuir Road,Tremorfa,0.183727,Cardiff
435,Caldicot Road,Caerau,0.143597,Cardiff
436,Caldy Court,Llandaff North,0.138535,Cardiff
437,Caldy Road,Llandaff North,0.110757121,Cardiff
438,Callaghan Square,Butetown,0.195963778,Cardiff
439,Cambourne Avenue,Whitchurch,0.068562632,Cardiff
440,Cambria Road,Ely,0.114356481,Cardiff
441,Cambridge Street,Grangetown,0.035283256,Cardiff
442,Camelot Way,Thornhill,0.253005,Cardiff
443,Cameron Street,Splott,0.0070745,Cardiff
444,Campbell Drive,Grangetown,0.256387708,Cardiff
445,Campion Place,Fairwater,0.38029,Cardiff
446,Camrose Road,Caerau,0.05102575,Cardiff
447,Canada Road,Gabalfa,0.123239455,Cardiff
448,Canal Parade,Butetown,0.07196625,Cardiff
449,Canal Street,Castle,0.094994545,Cardiff
450,Canaston Place,Caerau,0.060673,Cardiff
451,Cannington Avenue,Llanrumney,0.089069412,Cardiff
452,Canopus Close,Old St. Mellons,0.322234286,Cardiff
453,Canton Court,Riverside,0.006385,Cardiff
454,Cantref Close,Thornhill,0.176815,Cardiff
455,Capel Edeyrn,Pontprennau,0.214635926,Cardiff
456,Capelgwilym Road,Lisvane,0.3536425,Cardiff
457,Capelgwilym Road,Thornhill,0.387076452,Cardiff
458,Caradoc Close,Trowbridge,0.094515294,Cardiff
459,Caradoc Road,Whitchurch,0.058181875,Cardiff
460,Caraway Close,Trowbridge,0.133991429,Cardiff
461,Cardiff Road,Llandaff,0.27700267,Cardiff
462,Cardiff Road,Pontcanna,0.354974783,Cardiff
463,Cardiff Road,St. Fagans,0.82174,Cardiff
464,Cardigan Street,Canton,0.039482174,Cardiff
465,Cardinal Drive,Lisvane,0.194067692,Cardiff
466,Cargo Road,Butetown,0.004344127,Cardiff
467,Carisbrooke Way,Penylan,0.190258015,Cardiff
468,Carling Court,Ely,0.088276364,Cardiff
469,Carlisle Street,Splott,0.002580808,Cardiff
470,Carlton Close,Thornhill,0.136274,Cardiff
471,Carmarthen Street,Canton,0.108037778,Cardiff
472,Carnegie Drive,Cyncoed,0.166952143,Cardiff
473,Carter Place,Fairwater,0.047891923,Cardiff
474,Cartwright Court,Roath,0.119931111,Cardiff
475,Cartwright Lane,Fairwater,0.157661429,Cardiff
476,Carys Close,Caerau,0.233356,Cardiff
477,Caspian Close,Trowbridge,0.134709167,Cardiff
478,Castle Avenue,Rumney,0.081983077,Cardiff
479,Castle Crescent,Rumney,0.110192857,Cardiff
480,Castle Rise,Rumney,0.186176,Cardiff
481,Castle Street,Castle,0.098785135,Cardiff
482,Castlefield Place,Gabalfa,0.230670833,Cardiff
483,Caswell Road,Rumney,0.150384286,Cardiff
484,Cath Cob Close,Trowbridge,0.130035217,Cardiff
485,Cathays Terrace,Castle,0.249500769,Cardiff
486,Cathays Terrace,Cathays,0.064588,Cardiff
487,Cathedral Close,Llandaff,0.462,Cardiff
488,Cathedral Road,Pontcanna,0.216080545,Cardiff
489,Cathedral Road,Riverside,0.201740833,Cardiff
490,Cathedral View,Llandaff North,0.2696665,Cardiff
491,Catherine Street,Cathays,0.0439032,Cardiff
492,Cavendish Close,Thornhill,0.174078333,Cardiff
493,Caxton Place,Pentwyn,0.121965484,Cardiff
494,Cecil Street,Adamsdown,0.024221667,Cardiff
495,Cedar Grove,Fairwater,0.217886111,Cardiff
496,Cefn-Coed Crescent,Cyncoed,0.291325625,Cardiff
497,Cefn Carnau Road,Heath,0.172635909,Cardiff
498,Cefn Coch,Radyr and Morganstown,0.142006,Cardiff
499,Cefn Coed Avenue,Cyncoed,0.220238049,Cardiff
500,Cefn Coed Gardens,Cyncoed,0.2214375,Cardiff
